image_id,file_name,question_en,answer,split,category,question_ur,question_roman
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,popular,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,popular,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
303685,COCO_val2014_000000303685.jpg,Is there a chair in the image?,yes,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
303685,COCO_val2014_000000303685.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
303685,COCO_val2014_000000303685.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
303685,COCO_val2014_000000303685.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,adversarial,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,adversarial,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
303685,COCO_val2014_000000303685.jpg,Is there a chair in the image?,yes,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
303685,COCO_val2014_000000303685.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
303685,COCO_val2014_000000303685.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
303685,COCO_val2014_000000303685.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,random,boat,کیا تصویر میں کوئی کشتی ہے؟,Kya tasveer mein kashti hai?
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,random,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
516414,COCO_val2014_000000516414.jpg,Is there a toilet in the image?,no,random,toilet,کیا تصویر میں بیت الخلا ہے؟,Kya tasveer mein toilet hai?
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,random,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
516414,COCO_val2014_000000516414.jpg,Is there a couch in the image?,no,random,couch,کیا تصویر میں صوفہ ہے؟,Kya tasveer mein sofa hai?
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,popular,boat,کیا تصویر میں کوئی کشتی ہے؟,Kya tasveer mein kashti hai?
516414,COCO_val2014_000000516414.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
516414,COCO_val2014_000000516414.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,adversarial,boat,کیا تصویر میں کوئی کشتی ہے؟,Kya tasveer mein kashti hai?
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
516414,COCO_val2014_000000516414.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
516414,COCO_val2014_000000516414.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,adversarial,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,random,cat,کیا تصویر میں بلی ہے؟,Kya tasveer mein billi hai?
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,random,bowl,کیا تصویر میں ایک پیالہ ہے؟,Kya tasveer mein bowl hai?
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,random,potted plant,کیا تصویر میں کوئی پودا ہے؟,Kya tasveer mein gamla hai?
443887,COCO_val2014_000000443887.jpg,Is there a truck in the image?,no,random,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
443887,COCO_val2014_000000443887.jpg,Is there a train in the image?,no,random,train,کیا تصویر میں ٹرین ہے؟,Kya tasveer mein train hai?
443887,COCO_val2014_000000443887.jpg,Is there a teddy bear in the image?,no,random,teddy bear,کیا تصویر میں کوئی ٹیڈی بیر ہے؟,Kya tasveer mein teddy bear hai?
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,popular,potted plant,کیا تصویر میں کوئی پودا ہے؟,Kya tasveer mein gamla hai?
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,popular,cat,کیا تصویر میں بلی ہے؟,Kya tasveer mein billi hai?
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,popular,bowl,کیا تصویر میں ایک پیالہ ہے؟,Kya tasveer mein bowl hai?
443887,COCO_val2014_000000443887.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
443887,COCO_val2014_000000443887.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
443887,COCO_val2014_000000443887.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,adversarial,bowl,کیا تصویر میں ایک پیالہ ہے؟,Kya tasveer mein bowl hai?
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,adversarial,cat,کیا تصویر میں بلی ہے؟,Kya tasveer mein billi hai?
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,adversarial,potted plant,کیا تصویر میں کوئی پودا ہے؟,Kya tasveer mein gamla hai?
443887,COCO_val2014_000000443887.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
443887,COCO_val2014_000000443887.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
443887,COCO_val2014_000000443887.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
534827,COCO_val2014_000000534827.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
534827,COCO_val2014_000000534827.jpg,Is there a motorcycle in the image?,yes,random,motorcycle,کیا تصویر میں کوئی موٹر سائیکل ہے؟,Kya tasveer mein motorcycle hai?
534827,COCO_val2014_000000534827.jpg,Is there a handbag in the image?,yes,random,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
534827,COCO_val2014_000000534827.jpg,Is there a donut in the image?,no,random,donut,کیا تصویر میں ڈونٹ ہے؟,Kya tasveer mein donut hai?
534827,COCO_val2014_000000534827.jpg,Is there a horse in the image?,no,random,horse,کیا تصویر میں گھوڑا ہے؟,Kya tasveer mein ghora hai?
534827,COCO_val2014_000000534827.jpg,Is there a vase in the image?,no,random,vase,کیا تصویر میں گلدان ہے؟,Kya tasveer mein phool daani hai?
534827,COCO_val2014_000000534827.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
534827,COCO_val2014_000000534827.jpg,Is there a motorcycle in the image?,yes,popular,motorcycle,کیا تصویر میں کوئی موٹر سائیکل ہے؟,Kya tasveer mein motorcycle hai?
534827,COCO_val2014_000000534827.jpg,Is there a handbag in the image?,yes,popular,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
534827,COCO_val2014_000000534827.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
534827,COCO_val2014_000000534827.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
534827,COCO_val2014_000000534827.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
534827,COCO_val2014_000000534827.jpg,Is there a handbag in the image?,yes,adversarial,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
534827,COCO_val2014_000000534827.jpg,Is there a motorcycle in the image?,yes,adversarial,motorcycle,کیا تصویر میں کوئی موٹر سائیکل ہے؟,Kya tasveer mein motorcycle hai?
534827,COCO_val2014_000000534827.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
534827,COCO_val2014_000000534827.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
534827,COCO_val2014_000000534827.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
534827,COCO_val2014_000000534827.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
240950,COCO_val2014_000000240950.jpg,Is there a bench in the image?,yes,random,bench,کیا تصویر میں کوئی بینچ ہے؟,Kya tasveer mein bench hai?
240950,COCO_val2014_000000240950.jpg,Is there a wine glass in the image?,yes,random,wine glass,کیا تصویر میں شراب کا گلاس ہے؟,Kya tasveer mein gilaas hai?
240950,COCO_val2014_000000240950.jpg,Is there a cup in the image?,yes,random,cup,کیا تصویر میں کپ ہے؟,Kya tasveer mein cup hai?
240950,COCO_val2014_000000240950.jpg,Is there a kite in the image?,no,random,kite,کیا تصویر میں پتنگ ہے؟,Kya tasveer mein patang hai?
240950,COCO_val2014_000000240950.jpg,Is there a skateboard in the image?,no,random,skateboard,کیا تصویر میں اسکیٹ بورڈ ہے؟,Kya tasveer mein skateboard hai?
240950,COCO_val2014_000000240950.jpg,Is there a tv in the image?,no,random,tv,کیا تصویر میں ٹی وی ہے؟,Kya tasveer mein tv hai?
240950,COCO_val2014_000000240950.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
240950,COCO_val2014_000000240950.jpg,Is there a wine glass in the image?,yes,popular,wine glass,کیا تصویر میں شراب کا گلاس ہے؟,Kya tasveer mein gilaas hai?
240950,COCO_val2014_000000240950.jpg,Is there a knife in the image?,yes,popular,knife,کیا تصویر میں چاقو ہے؟,Kya tasveer mein churi hai?
240950,COCO_val2014_000000240950.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
240950,COCO_val2014_000000240950.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
240950,COCO_val2014_000000240950.jpg,Is there a traffic light in the image?,no,popular,traffic light,کیا تصویر میں ٹریفک لائٹ ہے؟,Kya tasveer mein traffic signal hai?
240950,COCO_val2014_000000240950.jpg,Is there a truck in the image?,yes,adversarial,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
240950,COCO_val2014_000000240950.jpg,Is there a cup in the image?,yes,adversarial,cup,کیا تصویر میں کپ ہے؟,Kya tasveer mein cup hai?
240950,COCO_val2014_000000240950.jpg,Is there a broccoli in the image?,yes,adversarial,broccoli,کیا تصویر میں بروکولی ہے؟,Kya tasveer mein broccoli hai?
240950,COCO_val2014_000000240950.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
240950,COCO_val2014_000000240950.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
240950,COCO_val2014_000000240950.jpg,Is there a traffic light in the image?,no,adversarial,traffic light,کیا تصویر میں ٹریفک لائٹ ہے؟,Kya tasveer mein traffic signal hai?
332625,COCO_val2014_000000332625.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
332625,COCO_val2014_000000332625.jpg,Is there a tv in the image?,yes,random,tv,کیا تصویر میں ٹی وی ہے؟,Kya tasveer mein tv hai?
332625,COCO_val2014_000000332625.jpg,Is there a chair in the image?,yes,random,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
332625,COCO_val2014_000000332625.jpg,Is there a fire hydrant in the image?,no,random,fire hydrant,کیا تصویر میں فائر ہائیڈرنٹ ہے؟,Kya tasveer mein fire hydrant hai?
332625,COCO_val2014_000000332625.jpg,Is there a sink in the image?,no,random,sink,کیا تصویر میں کوئی سنک ہے؟,Kya tasveer mein sink hai?
332625,COCO_val2014_000000332625.jpg,Is there a suitcase in the image?,no,random,suitcase,کیا تصویر میں کوئی سوٹ کیس ہے؟,Kya tasveer mein suitcase hai?
332625,COCO_val2014_000000332625.jpg,Is there a chair in the image?,yes,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
332625,COCO_val2014_000000332625.jpg,Is there a tv in the image?,yes,popular,tv,کیا تصویر میں ٹی وی ہے؟,Kya tasveer mein tv hai?
332625,COCO_val2014_000000332625.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
332625,COCO_val2014_000000332625.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
332625,COCO_val2014_000000332625.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
332625,COCO_val2014_000000332625.jpg,Is there a bottle in the image?,no,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
332625,COCO_val2014_000000332625.jpg,Is there a tv in the image?,yes,adversarial,tv,کیا تصویر میں ٹی وی ہے؟,Kya tasveer mein tv hai?
332625,COCO_val2014_000000332625.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
332625,COCO_val2014_000000332625.jpg,Is there a chair in the image?,yes,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
332625,COCO_val2014_000000332625.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
332625,COCO_val2014_000000332625.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
332625,COCO_val2014_000000332625.jpg,Is there a bottle in the image?,no,adversarial,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
526418,COCO_val2014_000000526418.jpg,Is there a book in the image?,yes,random,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
526418,COCO_val2014_000000526418.jpg,Is there a chair in the image?,yes,random,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
526418,COCO_val2014_000000526418.jpg,Is there a teddy bear in the image?,yes,random,teddy bear,کیا تصویر میں کوئی ٹیڈی بیر ہے؟,Kya tasveer mein teddy bear hai?
526418,COCO_val2014_000000526418.jpg,Is there a couch in the image?,no,random,couch,کیا تصویر میں صوفہ ہے؟,Kya tasveer mein sofa hai?
526418,COCO_val2014_000000526418.jpg,Is there a toaster in the image?,no,random,toaster,کیا تصویر میں ٹوسٹر ہے؟,Kya tasveer mein toaster hai?
526418,COCO_val2014_000000526418.jpg,Is there a tennis racket in the image?,no,random,tennis racket,کیا تصویر میں ٹینس ریکیٹ ہے؟,Kya tasveer mein tennis ka racket hai?
526418,COCO_val2014_000000526418.jpg,Is there a chair in the image?,yes,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
526418,COCO_val2014_000000526418.jpg,Is there a teddy bear in the image?,yes,popular,teddy bear,کیا تصویر میں کوئی ٹیڈی بیر ہے؟,Kya tasveer mein teddy bear hai?
526418,COCO_val2014_000000526418.jpg,Is there a book in the image?,yes,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
526418,COCO_val2014_000000526418.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
526418,COCO_val2014_000000526418.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
526418,COCO_val2014_000000526418.jpg,Is there a bottle in the image?,no,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
526418,COCO_val2014_000000526418.jpg,Is there a chair in the image?,yes,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
526418,COCO_val2014_000000526418.jpg,Is there a teddy bear in the image?,yes,adversarial,teddy bear,کیا تصویر میں کوئی ٹیڈی بیر ہے؟,Kya tasveer mein teddy bear hai?
526418,COCO_val2014_000000526418.jpg,Is there a book in the image?,yes,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
